customer_id,customer_name,industry,region,join_date
54,"Meyer, Stone and Phillips",Healthcare,Oceania,2021-08-24
55,Mccullough-Bernard,Retail,Asia,2020-05-12
56,"Miller, Lopez and Massey",Education,North America,2022-04-26
57,Poole Group,Manufacturing,Africa,2021-06-19
58,Maynard-Mcmahon,Technology,Africa,2018-09-07
59,Jackson-Wilkinson,Retail,Oceania,2021-07-12
60,Vance-Beltran,Retail,North America,2018-08-01
61,Webb Group,Manufacturing,Europe,2021-09-16
62,"Smith, Sanford and Mendoza",Manufacturing,Asia,2020-04-17
63,"Trevino, Mooney and Torres",Technology,South America,2019-03-26
64,Brown Group,Technology,Asia,2022-07-22
65,"Adams, Thomas and Beck",Retail,North America,2020-06-10
66,Hansen Inc,Education,North America,2020-09-22
67,"West, Osborn and Jones",Healthcare,Europe,2022-12-11
68,"Pittman, Alvarez and Armstrong",Technology,Africa,2019-01-10
69,Mcclain-Moon,Healthcare,Africa,2021-10-23
70,Finley LLC,Finance,Oceania,2019-11-10
71,"Perez, Pearson and Thompson",Healthcare,North America,2018-12-25
72,"Tyler, Patterson and Phillips",Manufacturing,Europe,2021-05-18
73,"Baker, Campbell and Bell",Retail,Europe,2018-11-08
74,Vasquez-Mcmahon,Finance,Europe,2020-01-25
75,"Vargas, Clements and Pierce",Manufacturing,Oceania,2018-11-06
76,Vincent-Foster,Technology,Oceania,2022-09-30
77,Banks-Lopez,Healthcare,Asia,2021-12-09
78,Oconnell-Kelly,Retail,North America,2019-12-03
79,Ross and Sons,Technology,Africa,2020-03-09
80,Simmons LLC,Healthcare,Oceania,2020-09-11
81,Buck-Mclaughlin,Education,Oceania,2018-03-14
82,Brooks Inc,Healthcare,Europe,2019-11-19
83,"Myers, Thomas and Freeman",Retail,North America,2019-03-04
84,"Burton, Stevens and Roberts",Education,Asia,2018-04-01
85,Reid Group,Healthcare,Asia,2019-04-05
86,Huber-Taylor,Manufacturing,Africa,2022-05-11
87,Dixon-Mason,Technology,Asia,2020-10-24
88,Harper-Campbell,Education,Asia,2019-12-04
89,Watkins PLC,Technology,Asia,2020-06-12
90,Reed and Sons,Technology,Africa,2020-06-24
91,Williams-Conway,Finance,North America,2018-08-25
92,Sloan Ltd,Finance,South America,2021-07-11
93,Jones Inc,Healthcare,Africa,2020-03-21
94,"Salinas, Vazquez and Haynes",Healthcare,Oceania,2018-08-02
95,Lewis Inc,Manufacturing,Europe,2022-11-13
96,Williamson-Ellis,Retail,Europe,2019-03-01
97,"Stewart, Peterson and Barnes",Finance,Africa,2018-07-15
98,"Davis, Bennett and Fry",Healthcare,Asia,2021-02-26
99,Reyes-Townsend,Healthcare,Oceania,2020-09-25
100,Williamson and Sons,Technology,Asia,2021-04-07
